id,display_name_en,description_text_en,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url,status,last modified,original file URL,AATID,EFTID
CC00088,machine sewing,"Sewing by machine, as distinct from sewing by hand.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300257463,
CC00037,Mandarin collar,,,,,,https://dressdiscover.org/img/worksheet/full_size/348px-File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg,https://dressdiscover.org/img/worksheet/thumbnail/348px-File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg,full_size/348px-File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg,thumbnail/348px-File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg,Abhisit Vejjajiva (on Flickr),Creative Commons Attribution,Flickr,https://commons.wikimedia.org/wiki/File:File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg,uploaded,,,,
CC00113,mantua,"Type of ladies' garment that first developed in the 1670s in Europe; they were relatively loose, gown- or coat-like garments worn belted at the waist with a long train draped at the hips to reveal the front of the matching petticoat below. This style replaced the earlier stiff, constricting boned bodice-and-skirt style previously worn by women. As the style evolved, the pleats at the front were reduced in number and the bodice was opened, with the torso now covered by a stiffened piece of fabric known as a stomacher. Originally an informal style, the mantua gradually developed as formal dress and the skirt grew to extraordinary proportions. The mantua was thought to display silk designs to their best advantage, as they were draped rather than cut; as such, it is believed the garment was named after Mantua, Italy, where expensive silks were produced. However, it has also been suggested that the name derives from manteau, the French term for a coat.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,https://dressdiscover.org/img/worksheet/full_size/Mantua_MET_DT6543.jpg,https://dressdiscover.org/img/worksheet/thumbnail/Mantua_MET_DT6543.jpg,full_size/Mantua_MET_DT6543.jpg,thumbnail/Mantua_MET_DT6543.jpg,Metropolitan Museum of Art,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Mantua_MET_DT6543.jpg,new,43472,https://upload.wikimedia.org/wikipedia/commons/6/64/Mantua_MET_DT6543.jpg,300209837,
CC00061,maroon,"A range of dark reddish or purplish brown colors resembling the color of dyes or colorants made from chestnut bark, derived from trees or shrubs of the genus Castanea of the beech family; from the Italian word for chestnut, ""marrone.""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=maroon&logic=AND&note=&english=N&prev_page=1&subjectid=300311173,,,,,,,,,incomplete,,,300311173,
CC00223,matelasse,"A double-woven textile with a quilted appearance, utilizing a wadding weft to increase the relief.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300227854,
CC00089,mercerizing,"Treatment of cotton yarn or fabric by immersion in a caustic solution of sodium hydroxide or other chemical base. Fibers so treated swell permanently, and the cotton is made stronger and more lustrous. Named after Alexander Mercer (1791-1866), who perfected the process. ",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300379924,
CC00224,metal,"Any of a large group of substances that typically show a characteristic luster, are good conductors of electricity and heat, are opaque, can be fused, and are usually malleable or ductile. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=metal&logic=AND&note=&english=N&prev_page=2&subjectid=300010900,,,,,,,,,incomplete,,,300010900,300311173
CC00006,metal eyelets,,,,,,,,,,,,,,incomplete,,,,
CC00225,microfiber,,,,,,,,,,,,,,incomplete,,,,
CC00191,mid calf length,,,,,,https://dressdiscover.org/img/worksheet/full_size/460px-StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise%2C_1951.jpg,https://dressdiscover.org/img/worksheet/thumbnail/460px-StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise%2C_1951.jpg,full_size/460px-StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise%2C_1951.jpg,thumbnail/460px-StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise%2C_1951.jpg,"Poulsen, Harry (Cameracraft)",Public domain,Wikipedia,"https://commons.wikimedia.org/wiki/File:StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise,_1951.jpg",uploaded,,,,
