id,display_name,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature
Dress,,Silhouette,Closure,Neckline,Collar,Sleeve Type,Sleeve Length,Waistline,Skirt,Hem,Material,Technique,Color
