Feature name,Feature value,Credit line,License,Image URL,Metadata URL
Structure Sleeve Length,tank
Structure Sleeve Length,three-quarter
,,,,,
Structure Sleeves,2-piece tailored
Structure Sleeves,Juliet
Structure Sleeves,batwing
Structure Sleeves,bell
Structure Sleeves,bishop
Structure Sleeves,block/straight
Structure Sleeves,camisole straps
Structure Sleeves,cap
Structure Sleeves,cowl
Structure Sleeves,criss-cross straps
Structure Sleeves,dolman
Structure Sleeves,elbow dart
Structure Sleeves,elbow gathers
Structure Sleeves,elbow length
Structure Sleeves,extra long
Structure Sleeves,fitted
Structure Sleeves,hanging
Structure Sleeves,kimono
Structure Sleeves,lantern
Structure Sleeves,layered
Structure Sleeves,leg-o-mutton
Structure Sleeves,long
Structure Sleeves,petal
Structure Sleeves,puff
Structure Sleeves,racerback straps
Structure Sleeves,raglan
Structure Sleeves,roll-up
Structure Sleeves,sections/panes
Structure Sleeves,shirt
Structure Sleeves,short
Structure Sleeves,spaghetti/camisole straps
Structure Sleeves,strapless
Structure Sleeves,tank
Structure Sleeves,three-quarter length
Structure Sleeves,wide straps
,,,,,
Structure Torso,1 dart
Structure Torso,2 darts
Structure Torso,3 darts
Structure Torso,4 darts
Structure Torso,5 darts
Structure Torso,6 darts
Structure Torso,7 or more darts
Structure Torso,back yoke
Structure Torso,back yoke with gathers
Structure Torso,bloused front (pigeon breast)
Structure Torso,bust darts
Structure Torso,front yoke
Structure Torso,front yoke with gathers
Structure Torso,gathered
Structure Torso,no darts/seams
Structure Torso,other darts
Structure Torso,other pleats
Structure Torso,other seams
Structure Torso,princess seams
Structure Torso,shoulder darts
Structure Torso,shoulder pleats
Structure Torso,side seams only
Structure Torso,topless
Structure Torso,trapeze
Structure Torso,waist darts-front
Structure Torso,waist pleats
Structure Torso,waist-darts-back
Structure Torso,wrap
Structure Torso,yoke
Structure Torso,yoke with gathers
,,,,,
Structure Waist,Empire / under bust
Structure Waist,angled to side
Structure Waist,asymmetrical
Structure Waist,bare midriff
Structure Waist,basque
Structure Waist,bolero
Structure Waist,curved
Structure Waist,dropped
Structure Waist,high
Structure Waist,hip-level
Structure Waist,natural
Structure Waist,no waistline
Structure Waist,pointed
Structure Waist,straight
Structure Waist,wrap
,,,,,
Structure Waist Shape,angled to side
Structure Waist Shape,basque
Structure Waist Shape,bolero
Structure Waist Shape,curved
Structure Waist Shape,no waistline
Structure Waist Shape,pointed
Structure Waist Shape,straight
Structure Waist Shape,wrap
,,,,,
Technique,applique
Technique,beading
Technique,braiding
Technique,burn-out
Technique,crocheting
Technique,drawloom
Technique,embossing
Technique,embroidery
Technique,flocking
Technique,glazing
Technique,hand sewing
Technique,hand weaving
Technique,knitting
Technique,lace making
Technique,machine sewing
Technique,mercerizing
Technique,needlepoint
Technique,painting
Technique,piecing
Technique,piping
Technique,pleating
Technique,polishing
Technique,printing
Technique,quilting
Technique,ruffling
Technique,smocking
Technique,weaving
,,,,,
