Feature name,Feature value,Credit line,License,Thumbnail URL,Full-size image URL,Metadata URL
Structure Cut,bias,,,,,
Structure Cut,straight,,,,,
Structure Cut,straight (crosswise grain),,,,,
Structure Cut,straight (lengthwise grain),,,,,
,,,,,,
Structure Hem,above knee,Flickr user iluvrhinestones,CC BY-SA 2.0,https://upload.wikimedia.org/wikipedia/commons/8/81/Black_cocktail_dress_1435042634.jpg,,https://commons.wikimedia.org/wiki/File:Black_cocktail_dress_1435042634.jpg
Structure Hem,ankle,Wikipedia user Tranquil Garden,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/5/53/Long_evening_dress.jpg,,https://commons.wikimedia.org/wiki/File:Long_evening_dress.jpg
Structure Hem,asymmetrical,,,,,
Structure Hem,floor,,,,,
Structure Hem,flounced,,,,,
Structure Hem,hip,,,,,
Structure Hem,knee,,,,,
Structure Hem,maxi,,,,,
Structure Hem,mid calf,,,,,
Structure Hem,mid-thigh,,,,,
Structure Hem,midi,,,,,
Structure Hem,ruffled,,,,,
Structure Hem,train,,,,,
Structure Hem,varied,,,,,
,,,,,,
Structure Lining,attached crinolines,,,,,
Structure Lining,attached ruffles,,,,,
Structure Lining,bodice fully lined,,,,,
Structure Lining,bodice partially lined,,,,,
Structure Lining,boning,,,,,
Structure Lining,pads,,,,,
Structure Lining,pants fully lined,,,,,
Structure Lining,pants partially lined,,,,,
Structure Lining,skirt fully lined,,,,,
Structure Lining,skirt partially lined,,,,,
Structure Lining,waist tape,,,,,
,,,,,,
Structure Neckline,Chelsea collar,,,,,
Structure Neckline,Mandarin / Chinese / cadet collar,U.S. Army,Public domain,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/ACU2004-06-14.jpg/341px-ACU2004-06-14.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ec/ACU2004-06-14.jpg,https://commons.wikimedia.org/wiki/File:ACU2004-06-14.jpg
Structure Neckline,Napoleon,,,,,
Structure Neckline,Peter Pan collar,"Drawing made by David Ring for the Europeana Fashion project (www.europeanafashion.eu). The drawing was commissioned to represent a concept in Europeana Fashion’s visual fashion thesaurus which was developed under the coordination of the Royal Museums of Art and History, Brussels. David Ring created the drawings in the library of MoMu – Fashion Museum Province of Antwerp and this is also where they are currently kept.",CC0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Peter_Pan_collar.jpg/343px-Peter_Pan_collar.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Peter_Pan_collar.jpg,https://commons.wikimedia.org/wiki/File:Peter_Pan_collar.jpg
Structure Neckline,Puritan collar,,,,,
Structure Neckline,Queen Anne / high collar,,,,,
Structure Neckline,ascot collar,,,,,
Structure Neckline,band collar,,,,,
Structure Neckline,bateau / boat,,,,,
Structure Neckline,bertha collar,,,,,
Structure Neckline,bow collar,,,,,
Structure Neckline,convertible collar,,,,,
Structure Neckline,cowl,,,,,
Structure Neckline,crew,,,,,
Structure Neckline,funnel collar,,,,,
Structure Neckline,gathered collar,,,,,
Structure Neckline,halter,,,,,
Structure Neckline,henley,,,,,
Structure Neckline,hood,,,,,
Structure Neckline,inset,,,,,
Structure Neckline,jabot collar,,,,,
Structure Neckline,jewel,,,,,
Structure Neckline,keyhole,,,,,
Structure Neckline,layered,,,,,
Structure Neckline,off the shoulder,,,,,
Structure Neckline,peaked lapel collar,,,,,
Structure Neckline,polo collar,,,,,
Structure Neckline,portrait collar,,,,,
Structure Neckline,round,,,,,
Structure Neckline,ruffled collar,,,,,
Structure Neckline,sailor / middy collar,,,,,
Structure Neckline,scoop,,,,,
Structure Neckline,shawl collar,,,,,
Structure Neckline,square,,,,,
Structure Neckline,strapless,,,,,
Structure Neckline,sweetheart,,,,,
Structure Neckline,turtleneck collar,,,,,
Structure Neckline,v-neck,,,,,
Structure Neckline,wingtip collar,,,,,
,,,,,,
