display_name_en,id,description_text_en,description_rights_author,description_rights_statement,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_statement (from images),image_rights_license,image_rights_source_name,image_rights_source_url,status,last_modified,original_file_URL,AATID,EFTID,WikidataID,features,URI
angora,CC00197,"The long, fine hair from any breed of Angora rabbit. The white French rabbit is favored for its high-quality, soft hair. Angora dyes readily, but is difficult to spin because of its fine texture and it does not felt like common rabbit hair. It is usually mixed with sheep wool or other fibers for weaving.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00197.jpg,thumbnail/CC00197.jpg,Wikipedia Users Oldhaus and Devvyn,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Joey_Giant_Angora_Buck-rebalanced.jpg,accepted,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/a/a6/Joey_Giant_Angora_Buck-rebalanced.jpg,300386672,10811,,"fiber,material",http://vocab.getty.edu/aat/300386672
boning,CC00199,"strip of rigid material used to stiffen corsets, bodices, collars, or other types of costume",Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,,,,,,,,edited,2020-10-03,,300253790,,Q881659,"otherMaterials,material",http://www.wikidata.org/entity/Q881659
brocade,CC00200,"Textile produced by brocading, typically richly figured and incorporating metal thread. (AAT)",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00200.jpg,thumbnail/CC00200.jpg,LACMA,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Dress_or_Furnishing_Fabric_Italy_or_France,_Textile._Silk_brocade_30_1-2_x_21_3-4%27_LACMA_M.81.69.6.jpg",uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/7/7a/Dress_or_Furnishing_Fabric_Italy_or_France%2C_Textile._Silk_brocade_30_1-2_x_21_3-4%27_LACMA_M.81.69.6.jpg,300227779,10384,,"textileMaterials,material",http://vocab.getty.edu/aat/300227779
camel hair,CC00201,"Fine body hair, or camel wool, used as a textile fiber.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300011816,10953,,"fiber,material",http://vocab.getty.edu/aat/300011816
cashmere,CC00202,"Yarn or fabric made from the fine, soft, light wool from the undercoat of the Kashmir goat.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00202.jpg,thumbnail/CC00202.jpg,Wikipedia User Adrianrowe,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/4.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dyed_100%25_Cashmere_Wool.jpg,new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/6/65/Dyed_100%25_Cashmere_Wool.jpg,300403905,10814,,"fiber,material",http://vocab.getty.edu/aat/300403905
chiffon,CC00203,"Sheer, lightweight plain-woven textile of fine, tightly-twisted yarn, originally of silk now also of various synthetic fibers, used, for example, for scarves, dresses, blouses, underwear, and veils. (AAT)",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00203.jpg,thumbnail/CC00203.jpg,Gerald R. Ford Presidential Library and Museum,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:First_Lady_Betty_Ford%27s_green_chiffon_gown_with_cape.jpg,new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/5/50/First_Lady_Betty_Ford%27s_green_chiffon_gown_with_cape.jpg,300249449,10377,,"textileMaterials,material",http://vocab.getty.edu/aat/300249449
corduroy,CC00204,"Weft pile weave with cut pile ribbed in the direction of the warp, usually made of cotton.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00204.jpg,thumbnail/CC00204.jpg,Wikipedia user Ludek,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mansestr.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/4/48/Mansestr.jpg,300014080,10809,,"textileMaterials,material",http://vocab.getty.edu/aat/300014080
cotton,CC00205,Textile made from cotton fiber.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00205.jpg,thumbnail/CC00205.jpg,Wikipedia user കാക്കര,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cotton_-_%E0%B4%AA%E0%B4%B0%E0%B5%81%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BF_03.JPG,new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/2/28/Cotton_-_%E0%B4%AA%E0%B4%B0%E0%B5%81%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BF_03.JPG,300014067,10354,,"fiber,material",http://vocab.getty.edu/aat/300014067
crepe,CC00206,"Lightweight textile made of various types of fiber, having a crinkled surface obtained by using hard twisted thread or yarn, by printing with caustic soda, by weaving with varied tensions, or by embossing. (AAT)",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300183741,10379,,"textileMaterials,material",http://vocab.getty.edu/aat/300183741
damask,CC00208,"Woven figured textile with one warp and one weft in which the pattern is formed by a contrast of binding systems, and appears on the face and the back in reverse positions.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00208.jpg,thumbnail/CC00208.jpg,Metropolitan Museum of Art,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fragment_of_damask_with_marriage_emblems_MET_DP152960.jpg,new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/7/77/Fragment_of_damask_with_marriage_emblems_MET_DP152960.jpg,300163295,10382,,"textileMaterials,material",http://vocab.getty.edu/aat/300163295
elastic,CC00211,Textile having the characteristic that it can be stretched without permanent alteration of size or shape. Examples include yardage or strips of textile material comprising threads or thin strips of rubber or other another elastic substance covered by a woven material.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300404361,,,"otherMaterials,material",http://vocab.getty.edu/aat/300404361
felt,CC00212,"Textile constructed usually of wool and fur fiber often mixed with natural or synthetic fiber by the interlocking of the loose fiber through the action of heat, moisture, chemicals, and pressure without spinning, weaving, or knitting.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00212.jpg,thumbnail/CC00212.jpg,Wikipedia user Sannse,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Felt_cloth.jpg,new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/d/d4/Felt_cloth.jpg,300014107,10397,,"textileMaterials,material",http://vocab.getty.edu/aat/300014107
fiber blend,CC00213,,,,,,,,,,,,,,accepted,2020-10-03,,,,,"fiber,material",https://w3id.org/costumeCore/ontology/CC00213
georgette,CC00214,"A semi-transparent artificial fiber or natural silk fabric woven in plain weave with undeterred chain and weft threads, alternately two right and two left twisted.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00214.jpg,thumbnail/CC00214.jpg,Hallwyl Museum / Jens Mohr,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:KL%C3%84NNING_Syrenlila_sidenkl%C3%A4nning_med_cape_och_underkl%C3%A4nning._Tillh%C3%B6rt_Ebba_von_Eckermann,_f_-_Hallwylska_museet_-_89129.tif",new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/KL%C3%84NNING_Syrenlila_sidenkl%C3%A4nning_med_cape_och_underkl%C3%A4nning._Tillh%C3%B6rt_Ebba_von_Eckermann%2C_f_-_Hallwylska_museet_-_89129.tif/lossy-page1-3744px-KL%C3%84NNING_Syrenlila_sidenkl%C3%A4nning_med_cape_och_underkl%C3%A4nning._Tillh%C3%B6rt_Ebba_von_Eckermann%2C_f_-_Hallwylska_museet_-_89129.tif.jpg,300417883,,,"textileMaterials,material",http://vocab.getty.edu/aat/300417883
glass,CC00215,"An amorphous, inorganic substance made by fusing silica (silicon dioxide) with a basic oxide; generally transparent but often translucent or opaque. Its characteristic properties are its hardness and rigidity at ordinary temperatures, its capacity for plastic working at elevated temperatures, and its resistance to weathering and to most chemicals except hydrofluoric acid. Used for both utilitarian and decorative purposes, it can be formed into various shapes, colored or decorated. Glass originated as a glaze in Mesopotamia in about 3500 BCE and the first objects made wholly of glass date to about 2500 BCE.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300010797,10557,,"otherMaterials,material",http://vocab.getty.edu/aat/300010797
